restaurant_id,total_orders,avg_rating,avg_del_time,total_revenue,cancel_rate,performance_score,tier
1,23,3.8260869565217392,40.91304347826087,6738.32,17.391304347826086,73.8,Underperforming
2,24,4.083333333333333,38.458333333333336,5865.72,12.5,78.24,Underperforming
3,29,4.137931034482759,32.275862068965516,6963.38,3.4482758620689653,83.72,Top Performer
4,16,3.625,30.9375,5438.93,6.25,79.27,Average
5,19,3.526315789473684,35.94736842105263,4085.58,5.263157894736842,76.9,Underperforming
6,18,4.222222222222222,34.388888888888886,4453.78,16.666666666666664,79.63,Average
7,18,3.8333333333333335,34.888888888888886,5264.57,0.0,81.33,Top Performer
8,23,3.6956521739130435,34.78260869565217,6785.88,0.0,80.27,Average
9,22,4.2272727272727275,33.86363636363637,4599.2699999999995,13.636363636363635,80.78,Top Performer
10,26,4.153846153846154,35.15384615384615,6474.22,7.6923076923076925,81.49,Top Performer
11,26,4.3076923076923075,34.80769230769231,8791.37,3.8461538461538463,84.0,Top Performer
12,21,4.0476190476190474,35.42857142857143,5777.05,0.0,82.85,Top Performer
13,20,4.25,31.9,4147.8,10.0,82.79,Top Performer
14,22,4.136363636363637,32.63636363636363,7098.86,13.636363636363635,80.51,Average
15,21,3.9047619047619047,30.428571428571427,5083.47,4.761904761904762,82.15,Top Performer
16,35,3.914285714285714,35.42857142857143,10968.369999999999,8.571428571428571,79.21,Average
17,31,3.774193548387097,33.87096774193548,8542.26,9.67741935483871,78.34,Underperforming
18,20,4.15,36.25,4804.42,15.0,78.86,Average
19,23,3.6956521739130435,40.130434782608695,6541.3,8.695652173913043,75.66,Underperforming
20,38,4.052631578947368,33.60526315789474,10427.69,5.263157894736842,81.99,Top Performer
21,34,4.205882352941177,33.94117647058823,9280.52,8.823529411764707,82.02,Top Performer
22,38,4.105263157894737,29.736842105263158,9876.68,10.526315789473683,82.28,Top Performer
23,22,4.090909090909091,37.77272727272727,5445.18,9.090909090909092,79.59,Average
24,30,4.1,31.166666666666668,6887.11,6.666666666666667,82.86,Top Performer
25,24,3.9166666666666665,33.0,5003.4,12.5,78.96,Average
26,18,4.166666666666667,30.61111111111111,5249.65,5.555555555555555,83.94,Top Performer
27,32,4.21875,31.4375,9968.28,9.375,82.9,Top Performer
28,25,3.6,31.32,6768.93,12.0,77.2,Underperforming
29,20,4.15,32.8,4791.2,10.0,81.65,Top Performer
30,31,3.903225806451613,37.87096774193548,7568.36,9.67741935483871,77.87,Underperforming
31,26,3.8461538461538463,35.42307692307692,7090.74,15.384615384615385,76.62,Underperforming
32,24,3.9583333333333335,36.166666666666664,5909.41,8.333333333333332,79.35,Average
33,28,4.25,34.82142857142857,6877.04,3.571428571428571,83.62,Top Performer
34,11,4.0,36.0,2972.56,9.090909090909092,79.52,Average
35,19,4.052631578947368,36.26315789473684,3782.55,10.526315789473683,79.41,Average
